"Region","soilQuality"
"AT11",6.14781940616606
"AT12",6.60870476495298
"AT13",6.46637393677015
"AT21",6.1557209532695
"AT22",5.9687601654526
"AT31",6.18156929173837
"AT32",5.92322032305659
"AT33",6.43639099921982
"AT34",7.36314995096605
"BE10",8.5871215914235
"BE21",5.86006566926131
"BE22",7.53190446388844
"BE23",7.56117319240092
"BE24",7.7760906065373
"BE25",7.54047298114621
"BE31",8.48683069485443
"BE32",8.18285922810079
"BE33",8.33972061837127
"BE34",7.23382253012107
"BE35",8.19755917078861
"BG31",6.20901190841055
"BG32",6.44918831385241
"BG33",6.61236812039282
"BG34",5.45372898408408
"BG41",6.1405499736658
"BG42",5.363746308878
"CY",2.66804356687908
"CZ01",7.40236034809473
"CZ02",7.45561443337847
"CZ03",7.19142907909815
"CZ04",7.25590926575012
"CZ05",7.33772513580891
"CZ06",7.48125786938567
"CZ07",7.38938593878772
"CZ08",7.10219549508762
"DE1",6.61318228565447
"DE2",6.55238136884229
"DE4",6.53335809048193
"DE5",5.97148160909219
"DE6",5.82501923802451
"DE7",6.52194924665647
"DE8",6.53499970284345
"DE9",6.85439830740022
"DEA",6.73673731754167
"DEB",6.8067374005852
"DEC",6.47447288174161
"DED",6.87607681132383
"DEE",6.9826151001695
"DEF",7.38990450969184
"DEG",6.98896018637258
"DK01",6.6780246324403
"DK02",7.07024234459607
"DK03",7.33478207906325
"DK04",7.09949531869498
"DK05",6.77443586286662
"EE",6.14982031634966
"EL30",4.00289175687998
"EL41",3.45265225044915
"EL42",3.48881090788681
"EL43",4.43661934146528
"EL51",5.66250585954555
"EL52",5.27802286585366
"EL53",4.28770764167057
"EL54",5.06987171004717
"EL61",4.66797461601932
"EL62",2.77443796351788
"EL63",5.31831694965819
"EL64",4.27125686276727
"EL65",4.15913956138255
"ES11",6.54072297502301
"ES12",5.86059631871888
"ES13",7.48458893008941
"ES21",4.70374891421802
"ES22",4.7695792519924
"ES23",5.06056616419673
"ES24",3.65293500003353
"ES30",4.92334760156784
"ES41",4.71457960496898
"ES42",4.59260247865864
"ES43",4.34732386765592
"ES51",4.94075574107396
"ES52",4.55805018644985
"ES53",4.62012780647311
"ES61",4.38478338441262
"ES62",4.4133318438943
"ES70",NA
"FI19",6.60962343755814
"FI1B",6.73976211305569
"FI1C",6.72117801762009
"FI1D",6.34925447266822
"FI20",5.09999990463257
"FR10",7.22922701434208
"FR21",5.59575047437251
"FR22",7.85986815786085
"FR23",8.11038901731352
"FR24",7.42592352493344
"FR25",8.20383081101956
"FR26",5.37052124442052
"FR30",8.13588809505469
"FR41",4.04583067052647
"FR42",5.8357990702077
"FR43",4.99353558139783
"FR51",8.0602447197374
"FR52",8.37554664762742
"FR53",7.56836438924096
"FR61",7.35393183768255
"FR62",7.36612018343729
"FR63",7.50612280960224
"FR71",6.40809430552304
"FR72",6.47771996861372
"FR81",5.93048604298466
"FR82",5.33985480422078
"FR83",5.6904327533575
"HR03",5.24406786490295
"HR04",6.16218409782405
"HU1",6.42295905471767
"HU21",6.34029633224392
"HU22",6.324165054773
"HU23",6.32124734023841
"HU31",6.21136494994497
"HU32",5.6164165549567
"HU33",6.03760596529156
"IE01",6.16853421063761
"IE02",7.43237247376975
"ITC1",6.65456900443808
"ITC2",4.15803573067699
"ITC3",6.34294803754198
"ITC4",6.78370998866566
"ITF1",5.53388332884659
"ITF2",6.6487012183643
"ITF3",6.45030085074813
"ITF4",4.60450969347465
"ITF5",5.9883077419192
"ITF6",5.18281315476967
"ITG1",4.32985562583403
"ITG2",5.30318084262872
"ITH3",6.22599438873278
"ITH4",6.0928122391788
"ITI1",5.79624446650397
"ITI2",5.84391340555433
"ITI4",5.87076967036682
"LT",5.49356123976296
"LU",6.5055981396759
"LV",5.56121431949071
"MT",0
"NL11",7.61400958503354
"NL12",7.92258690588293
"NL13",6.11138078855745
"NL21",5.45148932534447
"NL22",6.8426571618317
"NL23",8.21001970088295
"NL31",7.26276956872874
"NL32",7.46385654900628
"NL33",8.07888139449443
"NL34",8.24058429375163
"NL41",5.68266174753134
"NL42",6.80026096917855
"PL11",6.51070384480123
"PL12",6.47527903298644
"PL21",6.91417251787863
"PL22",6.20986735105323
"PL31",6.39626203451799
"PL32",6.5213239641145
"PL33",6.72450108512112
"PL34",5.30247541447153
"PL41",6.60339179090746
"PL42",6.53755646362901
"PL43",6.84275979281614
"PL51",6.85155410012931
"PL52",6.94969519575025
"PL61",6.76044846427507
"PL62",6.51068129067908
"PL63",6.89221272481946
"PT11",5.04882365605281
"PT15",4.56004532807967
"PT16",5.28551354846808
"PT17",4.77261048674953
"PT18",4.75178714989665
"PT20",NA
"PT30",NA
"RO11",6.23947175351561
"RO12",6.40980734949055
"RO21",6.51783781236269
"RO22",7.33102140825568
"RO31",7.05578068221522
"RO32",6.76301126685519
"RO41",6.28615524048123
"RO42",6.29772988925543
"SE11",6.69452890321018
"SE12",6.75544043602405
"SE21",6.94520104619899
"SE22",7.29658828850158
"SE23",7.12982300117174
"SE31",7.65796913598733
"SE32",7.9475349286755
"SE33",7.31090732788921
"SI03",5.57615951173995
"SI04",5.47728777409436
"SK01",6.33411375107789
"SK02",6.45833022623996
"SK03",5.77610626035997
"SK04",6.05243524881608
"UKC",5.3478673260849
"UKD",6.47868773752685
"UKE",6.84363175556292
"UKF",7.44334122990805
"UKG",7.67074263014613
"UKH",7.45277990655927
"UKJ",7.34640961291811
"UKK",7.95292785699374
"UKL",7.58450740930684
"UKM",7.63491942366957
"UKN",5.88747658036514
